Publication Title,Publication Year,Journal Impact Factor
Archives of General Psychiatry,2003,10.519
Archives of General Psychiatry,2002,11.622
Archives of General Psychiatry,2001,11.981
Archives of General Psychiatry,2000,11.778
Archives of General Psychiatry,1999,10.952
Archives of General Psychiatry,1998,9.398
Archives of General Psychiatry,1997,10.751
Applied Developmental Science,2016,1.581
Applied Developmental Science,2015,1.364
Applied Developmental Science,2014,1.536
Applied Developmental Science,2013,1.586
Applied Developmental Science,2012,0.727
Applied Developmental Science,2011,0.633
Applied Developmental Science,2010,0.8
Applied Developmental Science,2009,0.646
Annals of the New York Academy of Sciences,2016,4.706
Annals of the New York Academy of Sciences,2015,4.518
Annals of the New York Academy of Sciences,2014,4.383
Annals of the New York Academy of Sciences,2013,4.039
Annals of the New York Academy of Sciences,2012,4.364
Annals of the New York Academy of Sciences,2011,3.155
Annals of the New York Academy of Sciences,2010,2.847
Annals of the New York Academy of Sciences,2009,2.67
Annals of the New York Academy of Sciences,2008,2.303
Annals of the New York Academy of Sciences,2007,1.731
Annals of the New York Academy of Sciences,2006,1.93
Annals of the New York Academy of Sciences,2005,1.971
Annals of the New York Academy of Sciences,2004,1.789
Annals of the New York Academy of Sciences,2003,1.892
Annals of the New York Academy of Sciences,2002,1.682
Annals of the New York Academy of Sciences,2001,1.593
Annals of the New York Academy of Sciences,2000,1.381
Annals of the New York Academy of Sciences,1999,0.964
Annals of the New York Academy of Sciences,1998,0.959
Annals of the New York Academy of Sciences,1997,0.903
Annals of Family Medicine,2016,4.917
Annals of Family Medicine,2015,5.087
Annals of Family Medicine,2014,5.434
Annals of Family Medicine,2013,4.57
Annals of Family Medicine,2012,4.613
Annals of Family Medicine,2011,5.355
Annals of Family Medicine,2010,4.457
Annals of Family Medicine,2009,4.13
Annals of Family Medicine,2008,3.541
Annals of Family Medicine,2007,4.542
Annals of Family Medicine,2006,3.803
American Sociological Review,2016,4.4
American Sociological Review,2015,3.989
American Sociological Review,2014,4.39
American Sociological Review,2013,4.266
American Sociological Review,2012,4.077
American Sociological Review,2011,4.422
American Sociological Review,2010,3.693
American Sociological Review,2009,3.221
American Sociological Review,2008,3.762
American Sociological Review,2007,3.277
American Sociological Review,2006,3.205
American Sociological Review,2005,2.933
American Sociological Review,2004,2.855
American Sociological Review,2003,2.383
American Sociological Review,2002,2.849
American Sociological Review,2001,2.767
American Sociological Review,2000,3.255
American Sociological Review,1999,3.127
American Sociological Review,1998,2.888
American Sociological Review,1997,2.941
American Psychologist,2016,6.681
American Psychologist,2015,5.454
American Psychologist,2014,6.1
American Psychologist,2013,5.45
American Psychologist,2012,5.1
American Psychologist,2011,6.869
American Psychologist,2010,6.012
American Psychologist,2009,6.537
American Psychologist,2008,7.106
American Psychologist,2007,6.967
American Psychologist,2006,7.829
American Psychologist,2005,6.46
American Psychologist,2004,5.494
American Psychologist,2003,5.484
American Psychologist,2002,5.981
American Psychologist,2001,6.258
American Psychologist,2000,6.857
American Psychologist,1999,6.022
American Psychologist,1998,4.067
American Psychologist,1997,3.076
American Journal of Public Health,2016,3.858
American Journal of Public Health,2015,4.138
American Journal of Public Health,2014,4.552
American Journal of Public Health,2013,4.229
American Journal of Public Health,2012,3.93
American Journal of Public Health,2011,3.926
American Journal of Public Health,2010,3.85
American Journal of Public Health,2009,4.371
American Journal of Public Health,2008,4.241
American Journal of Public Health,2007,3.612
American Journal of Public Health,2006,3.698
American Journal of Public Health,2005,3.566
American Journal of Public Health,2004,3.241
American Journal of Public Health,2003,3.363
American Journal of Public Health,2002,3.279
American Journal of Public Health,2001,3.034
American Journal of Public Health,2000,3.269
American Journal of Public Health,1999,3.015
American Journal of Public Health,1998,3.576
American Journal of Public Health,1997,3.453
American Journal of Preventive Medicine,2016,4.212
American Journal of Preventive Medicine,2015,4.465
American Journal of Preventive Medicine,2014,4.527
American Journal of Preventive Medicine,2013,4.281
American Journal of Preventive Medicine,2012,3.945
American Journal of Preventive Medicine,2011,4.044
American Journal of Preventive Medicine,2010,4.11
American Journal of Preventive Medicine,2009,4.235
American Journal of Preventive Medicine,2008,3.766
American Journal of Preventive Medicine,2007,3.489
American Journal of Preventive Medicine,2006,3.497
American Journal of Preventive Medicine,2005,3.167
American Journal of Preventive Medicine,2004,3.188
American Journal of Preventive Medicine,2003,3.256
American Journal of Preventive Medicine,2002,2.63
American Journal of Preventive Medicine,2001,2.064
American Journal of Preventive Medicine,2000,2.192
American Journal of Preventive Medicine,1999,1.442
American Journal of Preventive Medicine,1998,1.199
American Journal of Preventive Medicine,1997,0.995
American Journal of Orthopsychiatry,2015,1.276
American Journal of Orthopsychiatry,2014,1.364
American Journal of Orthopsychiatry,2013,1.504
American Journal of Orthopsychiatry,2012,1.6
American Journal of Orthopsychiatry,2011,1.291
American Journal of Orthopsychiatry,2010,1.872
American Journal of Orthopsychiatry,2009,2.211
American Journal of Orthopsychiatry,2008,1.711
American Journal of Orthopsychiatry,2007,1.959
American Journal of Orthopsychiatry,2006,1.954
American Journal of Orthopsychiatry,2005,1.792
American Journal of Orthopsychiatry,2004,1.449
American Journal of Orthopsychiatry,2003,1.347
American Journal of Orthopsychiatry,2002,1.619
American Journal of Orthopsychiatry,2001,1.505
American Journal of Orthopsychiatry,2000,1.939
American Journal of Orthopsychiatry,1999,1.444
American Journal of Orthopsychiatry,1998,2.267
American Journal of Orthopsychiatry,1997,1.718
American Journal of Family Therapy,2016,0.5
American Journal of Family Therapy,2015,0.492
American Journal of Family Therapy,2014,0.525
American Journal of Family Therapy,2013,0.527
American Journal of Family Therapy,2012,0.353
American Journal of Family Therapy,2011,0.536
American Journal of Family Therapy,2010,0.413
American Journal of Family Therapy,2009,0.377
American Journal of Family Therapy,2008,0.491
American Journal of Family Therapy,2007,0.31
American Journal of Family Therapy,2006,0.373
American Journal of Family Therapy,2005,0.464
American Journal of Family Therapy,2004,0.446
American Journal of Family Therapy,2003,0.305
American Journal of Family Therapy,2002,0.259
American Journal of Family Therapy,2001,0.271
American Journal of Family Therapy,2000,0.327
American Journal of Family Therapy,1999,0.345
American Journal of Family Therapy,1998,0.224
American Journal of Family Therapy,1997,0.242
American Journal of Community Psychology,2016,2.108
American Journal of Community Psychology,2015,2.068
American Journal of Community Psychology,2014,2.145
American Journal of Community Psychology,2013,1.968
American Journal of Community Psychology,2012,1.978
American Journal of Community Psychology,2011,1.736
American Journal of Community Psychology,2010,1.722
American Journal of Community Psychology,2009,2.162
American Journal of Community Psychology,2008,1.198
American Journal of Community Psychology,2007,1
American Journal of Community Psychology,2006,1.525
American Journal of Community Psychology,2005,1.922
American Journal of Community Psychology,2004,0.938
American Journal of Community Psychology,2003,1.232
American Journal of Community Psychology,2002,0.924
American Journal of Community Psychology,2001,1.113
American Journal of Community Psychology,2000,1.5
American Journal of Community Psychology,1999,1.377
American Journal of Community Psychology,1998,1.235
American Journal of Community Psychology,1997,1.083
American Behavioral Scientist,2016,1.311
American Behavioral Scientist,2015,1.907
American Behavioral Scientist,2014,1.766
American Behavioral Scientist,2013,0.926
American Behavioral Scientist,2012,0.622
American Behavioral Scientist,2011,0.694
American Behavioral Scientist,2010,0.492
American Behavioral Scientist,2009,0.705
American Behavioral Scientist,2008,0.691
American Behavioral Scientist,2007,0.573
American Behavioral Scientist,2006,0.466
American Behavioral Scientist,2005,0.393
American Behavioral Scientist,2004,0.54
American Behavioral Scientist,2003,0.714
American Behavioral Scientist,2002,0.667
American Behavioral Scientist,2001,0.921
American Behavioral Scientist,2000,0.619
American Behavioral Scientist,1999,0.612
American Behavioral Scientist,1998,0.673
American Behavioral Scientist,1997,0.573
Ambulatory Pediatrics,2010,2.491
Ambulatory Pediatrics,2009,1.6
Ambulatory Pediatrics,2008,1.846
Ambulatory Pediatrics,2007,1.6
Ambulatory Pediatrics,2006,1.589
Ambulatory Pediatrics,2005,1.475
Ambulatory Pediatrics,2004,1.881
Ambulatory Pediatrics,2003,1.458
Ambulatory Pediatrics,2002,1.38
Aggressive Behavior,2016,2.747
Aggressive Behavior,2015,2.469
Aggressive Behavior,2014,2.275
Aggressive Behavior,2013,2.269
Aggressive Behavior,2012,2.247
Aggressive Behavior,2011,2.63
Aggressive Behavior,2010,1.804
Aggressive Behavior,2009,1.698
Aggressive Behavior,2008,2.056
Aggressive Behavior,2007,1.24
Aggressive Behavior,2006,1.012
Aggressive Behavior,2005,1.112
Aggressive Behavior,2004,1.096
Aggressive Behavior,2003,1
Aggressive Behavior,2002,0.95
Aggressive Behavior,2001,1.286
Aggressive Behavior,2000,0.815
Aggressive Behavior,1999,1.141
Aggressive Behavior,1998,1.219
Aggressive Behavior,1997,1.448
Aggression and Violent Behavior,2016,1.928
Aggression and Violent Behavior,2015,1.912
Aggression and Violent Behavior,2014,1.926
Aggression and Violent Behavior,2013,2.119
Aggression and Violent Behavior,2012,2.137
Aggression and Violent Behavior,2011,1.949
Aggression and Violent Behavior,2010,1.409
Aggression and Violent Behavior,2009,1.655
Aggression and Violent Behavior,2008,1.618
Aggression and Violent Behavior,2007,1
Aggression and Violent Behavior,2006,1.6
Aggression and Violent Behavior,2005,1.359
Aggression and Violent Behavior,2004,1.079
Aggression and Violent Behavior,2003,1.143
Aggression and Violent Behavior,2002,1.328
Aggression and Violent Behavior,2001,0.73
Aggression and Violent Behavior,2000,0.755
Aggression and Violent Behavior,1999,0.705
Aggression and Violent Behavior,1998,0.83
Aggression and Violent Behavior,1997,0.962
Adolescence,2011,0.639
Adolescence,2010,0.72
Adolescence,2009,0.79
Adolescence,2008,0.72
Adolescence,2007,0.475
Adolescence,2006,0.768
Adolescence,2005,0.693
Adolescence,2004,0.67
Adolescence,2003,0.381
Adolescence,2002,0.374
Adolescence,2001,0.371
Adolescence,2000,0.444
Adolescence,1999,0.395
Adolescence,1998,0.325
Adolescence,1997,0.258
Administration and Policy in Mental Health and Mental Health Services Research,2016,2.616
Administration and Policy in Mental Health and Mental Health Services Research,2015,2.415
Administration and Policy in Mental Health and Mental Health Services Research,2014,2.098
Administration and Policy in Mental Health and Mental Health Services Research,2013,3.442
Administration and Policy in Mental Health and Mental Health Services Research,2012,2.651
Administration and Policy in Mental Health and Mental Health Services Research,2011,2.094
Administration and Policy in Mental Health and Mental Health Services Research,2010,2.451
Administration and Policy in Mental Health and Mental Health Services Research,2009,1.78
Administration and Policy in Mental Health and Mental Health Services Research,2008,0.907
Administration and Policy in Mental Health and Mental Health Services Research,2007,1.146
Administration and Policy in Mental Health and Mental Health Services Research,2006,0.585
Administration and Policy in Mental Health and Mental Health Services Research,2005,0.556
Administration and Policy in Mental Health and Mental Health Services Research,2004,0.478
Administration and Policy in Mental Health and Mental Health Services Research,2003,0.521
Administration and Policy in Mental Health and Mental Health Services Research,2002,0.5
Administration and Policy in Mental Health and Mental Health Services Research,2001,0.446
Administration and Policy in Mental Health and Mental Health Services Research,2000,0.574
Administration and Policy in Mental Health and Mental Health Services Research,1999,0.488
Administration and Policy in Mental Health and Mental Health Services Research,1998,0.481
Administration and Policy in Mental Health and Mental Health Services Research,1997,0.404
Addictive Behaviors,2016,2.944
Addictive Behaviors,2015,2.795
Addictive Behaviors,2014,2.764
Addictive Behaviors,2013,2.441
Addictive Behaviors,2012,2.021
Addictive Behaviors,2011,2.085
Addictive Behaviors,2010,2.133
Addictive Behaviors,2009,2.248
Addictive Behaviors,2008,1.846
Addictive Behaviors,2007,1.752
Academic Pediatrics,2016,2.72
Academic Pediatrics,2015,2.438
Academic Pediatrics,2014,2.007
Academic Pediatrics,2013,2.227
Academic Pediatrics,2012,2.328
Academic Pediatrics,2011,2.398
Academic Pediatrics,2010,2.597
